date,sn_avg
1749-01-01,134.875
1750-01-01,139.0
1751-01-01,79.44166666666666
1752-01-01,79.66666666666667
1753-01-01,51.125
1754-01-01,20.358333333333334
1755-01-01,15.933333333333332
1756-01-01,16.983333333333334
1757-01-01,54.041666666666664
1758-01-01,79.34166666666667
1759-01-01,89.94166666666666
1760-01-01,104.77499999999999
1761-01-01,143.08333333333334
1762-01-01,101.91666666666667
1763-01-01,75.2
1764-01-01,60.574999999999996
1765-01-01,34.85
1766-01-01,19.016666666666666
1767-01-01,63.050000000000004
1768-01-01,116.41666666666667
1769-01-01,176.83333333333334
1770-01-01,167.99166666666667
1771-01-01,135.975
1772-01-01,110.825
1773-01-01,57.949999999999996
1774-01-01,51.025
1775-01-01,11.683333333333332
1776-01-01,33.03333333333333
1777-01-01,154.16666666666666
1778-01-01,257.28333333333336
1779-01-01,209.88333333333333
1780-01-01,141.32500000000002
1781-01-01,113.48333333333333
1782-01-01,64.10000000000001
1783-01-01,38.0
1784-01-01,16.941666666666666
1785-01-01,40.15833333333333
1786-01-01,138.09166666666667
1787-01-01,220.04999999999998
1788-01-01,218.16666666666666
1789-01-01,196.84166666666667
1790-01-01,149.825
1791-01-01,110.96666666666665
1792-01-01,100.06666666666666
1793-01-01,78.15833333333333
1794-01-01,68.325
1795-01-01,35.449999999999996
1796-01-01,26.7
1797-01-01,10.666666666666666
1798-01-01,6.7749999999999995
1799-01-01,11.275
1800-01-01,24.125
1801-01-01,56.65
1802-01-01,75.05
1803-01-01,71.75
1804-01-01,79.10833333333333
1805-01-01,70.40833333333333
1806-01-01,46.85
1807-01-01,16.75
1808-01-01,13.566666666666668
1809-01-01,4.216666666666667
1810-01-01,0.0
1811-01-01,2.3583333333333334
1812-01-01,8.258333333333333
1813-01-01,20.325
1814-01-01,23.224999999999998
1815-01-01,59.00833333333333
1816-01-01,76.35000000000001
1817-01-01,68.43333333333334
1818-01-01,50.13333333333333
1819-01-01,39.96666666666667
1820-01-01,26.0
1821-01-01,11.016666666666666
1822-01-01,6.583333333333333
1823-01-01,2.983333333333333
1824-01-01,14.241666666666667
1825-01-01,27.675
1826-01-01,60.449999999999996
1827-01-01,82.58333333333333
1828-01-01,106.95833333333333
1829-01-01,111.60833333333333
1830-01-01,118.19166666666666
1831-01-01,79.7
1832-01-01,45.9
1833-01-01,14.191666666666668
1834-01-01,22.083333333333332
1835-01-01,94.72500000000001
1836-01-01,202.4333333333333
1837-01-01,230.49166666666667
1838-01-01,171.95000000000002
1839-01-01,142.79166666666666
1840-01-01,107.73333333333333
1841-01-01,61.208333333333336
1842-01-01,40.31666666666667
1843-01-01,17.89166666666667
1844-01-01,24.916666666666668
1845-01-01,66.78333333333333
1846-01-01,102.52499999999999
1847-01-01,164.09166666666667
1848-01-01,207.86666666666667
1849-01-01,183.03333333333333
1850-01-01,126.54166666666667
1851-01-01,122.50833333333333
1852-01-01,102.79166666666667
1853-01-01,74.14166666666667
1854-01-01,39.13333333333333
1855-01-01,12.691666666666668
1856-01-01,8.216666666666667
1857-01-01,43.18333333333334
1858-01-01,104.10000000000001
1859-01-01,178.225
1860-01-01,182.03333333333333
1861-01-01,146.64166666666668
1862-01-01,112.26666666666667
1863-01-01,83.55833333333332
1864-01-01,89.19166666666666
1865-01-01,57.875
1866-01-01,30.96666666666667
1867-01-01,13.799999999999999
1868-01-01,62.68333333333334
1869-01-01,123.44166666666666
1870-01-01,231.78333333333333
1871-01-01,185.475
1872-01-01,169.475
1873-01-01,110.51666666666667
1874-01-01,74.55
1875-01-01,28.424999999999997
1876-01-01,18.85
1877-01-01,20.658333333333335
1878-01-01,5.75
1879-01-01,10.0
1880-01-01,53.75833333333333
1881-01-01,90.50833333333333
1882-01-01,99.375
1883-01-01,106.05833333333334
1884-01-01,105.84166666666665
1885-01-01,86.63333333333333
1886-01-01,42.4
1887-01-01,21.766666666666666
1888-01-01,11.225
1889-01-01,10.383333333333333
1890-01-01,11.741666666666667
1891-01-01,59.38333333333333
1892-01-01,121.60833333333333
1893-01-01,141.8166666666667
1894-01-01,130.00833333333333
1895-01-01,106.60000000000001
1896-01-01,69.7
1897-01-01,43.791666666666664
1898-01-01,44.541666666666664
1899-01-01,20.191666666666666
1900-01-01,15.800000000000002
1901-01-01,4.583333333333333
1902-01-01,8.433333333333334
1903-01-01,40.65833333333333
1904-01-01,69.90833333333333
1905-01-01,105.78333333333332
1906-01-01,89.79166666666667
1907-01-01,103.38333333333333
1908-01-01,80.95833333333333
1909-01-01,73.13333333333334
1910-01-01,31.0
1911-01-01,9.541666666666666
1912-01-01,5.991666666666667
1913-01-01,2.4166666666666665
1914-01-01,16.05
1915-01-01,78.97500000000001
1916-01-01,95.13333333333333
1917-01-01,173.17499999999998
1918-01-01,134.29999999999998
1919-01-01,106.0
1920-01-01,62.71666666666667
1921-01-01,43.53333333333333
1922-01-01,23.75
1923-01-01,9.658333333333333
1924-01-01,27.858333333333334
1925-01-01,73.85833333333333
1926-01-01,106.47500000000001
1927-01-01,115.10833333333333
1928-01-01,129.67499999999998
1929-01-01,108.10000000000001
1930-01-01,59.541666666666664
1931-01-01,35.36666666666667
1932-01-01,18.558333333333334
1933-01-01,9.416666666666666
1934-01-01,14.525
1935-01-01,60.05833333333334
1936-01-01,132.86666666666667
1937-01-01,190.63333333333333
1938-01-01,182.61666666666667
1939-01-01,147.96666666666667
1940-01-01,112.95833333333333
1941-01-01,79.14999999999999
1942-01-01,51.050000000000004
1943-01-01,27.224999999999998
1944-01-01,15.949999999999998
1945-01-01,55.125
1946-01-01,154.21666666666667
1947-01-01,214.525
1948-01-01,192.84166666666667
1949-01-01,191.33333333333334
1950-01-01,118.88333333333334
1951-01-01,98.39999999999999
1952-01-01,44.85833333333333
1953-01-01,20.075
1954-01-01,6.558333333333334
1955-01-01,54.050000000000004
1956-01-01,200.65
1957-01-01,268.84166666666664
1958-01-01,261.40000000000003
1959-01-01,224.79999999999998
1960-01-01,158.96666666666667
1961-01-01,76.425
1962-01-01,53.56666666666667
1963-01-01,39.958333333333336
1964-01-01,15.058333333333332
1965-01-01,21.95
1966-01-01,66.56666666666666
1967-01-01,132.65
1968-01-01,149.95000000000002
1969-01-01,149.44166666666666
1970-01-01,148.225
1971-01-01,94.425
1972-01-01,97.69166666666666
1973-01-01,54.291666666666664
1974-01-01,49.15
1975-01-01,22.40833333333333
1976-01-01,18.341666666666665
1977-01-01,39.34166666666667
1978-01-01,131.24166666666667
1979-01-01,219.85833333333335
1980-01-01,218.975
1981-01-01,198.78333333333333
1982-01-01,162.88333333333335
1983-01-01,90.79166666666667
1984-01-01,60.65833333333333
1985-01-01,20.541666666666668
1986-01-01,14.833333333333334
1987-01-01,33.675000000000004
1988-01-01,122.7
1989-01-01,211.23333333333335
1990-01-01,191.39166666666665
1991-01-01,203.40833333333333
1992-01-01,133.34166666666667
1993-01-01,76.35000000000001
1994-01-01,44.86666666666667
1995-01-01,25.166666666666668
1996-01-01,11.549999999999999
1997-01-01,28.891666666666666
1998-01-01,88.05
1999-01-01,136.15
2000-01-01,173.8083333333333
2001-01-01,170.28333333333333
2002-01-01,163.60833333333332
2003-01-01,99.03333333333335
2004-01-01,65.33333333333333
2005-01-01,45.725
2006-01-01,24.625
2007-01-01,12.633333333333333
2008-01-01,4.1499999999999995
2009-01-01,4.75
2010-01-01,24.900000000000002
2011-01-01,80.75833333333334
2012-01-01,84.39166666666667
2013-01-01,93.70833333333333
2014-01-01,113.60833333333333
2015-01-01,69.78333333333333
2016-01-01,39.824999999999996
2017-01-01,21.816666666666666
2018-01-01,7.008333333333333
2019-01-01,3.5833333333333335
2020-01-01,8.791666666666666
2021-01-01,29.48333333333333
2022-01-01,83.03333333333333
2023-01-01,125.33333333333333
2024-01-01,154.525
2025-01-01,123.44999999999999
